#{"t_start": 1634011350.8532403, "env_id": null}
r,l,t
-0.1,1,460.07952
-0.1,4,460.079539
-0.1,3,460.079554
-0.1,4,460.07957
-0.1,9,462.552415
-0.1,1,462.552532
-0.1,1,462.55257
0.0,2,465.494543
-0.1,4,465.494663
-0.1,3,465.494699
-0.1,1,465.494726
-0.1,1,468.733523
-0.1,3,468.733635
-0.1,3,468.733667
-0.1,1,468.733693
0.0,3,468.733716
-0.1,1,471.797413
-0.1,7,471.797683
-0.1,4,471.797762
-0.1,3,474.766483
-0.1,2,474.766608
-0.1,1,477.979038
0.0,5,477.979146
-0.1,3,477.979179
-0.1,5,481.080483
-0.1,1,481.080594
-0.1,4,481.080626
-0.1,1,481.080651
-0.1,4,481.080676
-0.1,7,484.206784
-0.1,1,484.206906
-0.1,1,484.206941
0.0,4,484.206969
-0.1,2,484.206994
-0.1,3,484.207019
-0.1,1,486.660764
-0.1,1,486.660859
-0.1,1,486.660887
-0.1,5,486.660913
-0.1,2,486.660936
-0.1,1,486.660957
-0.1,1,489.795056
-0.1,4,492.735836
-0.1,4,492.735947
-0.1,7,492.73598
-0.1,1,492.736006
-0.1,12,495.82559
-0.1,3,495.82582
-0.1,1,495.825869
-0.1,4,495.8259
-0.1,1,495.825928
-0.1,1,498.96861
-0.1,4,498.968718
-0.1,1,498.968752
-0.1,4,498.968777
-0.1,1,498.9688
-0.1,4,498.968823
-0.1,1,498.968846
-0.1,2,498.968868
-0.1,1,498.968891
-0.1,1,501.395939
-0.1,1,501.396042
-0.1,1,501.396074
-0.1,1,501.396099
-0.1,1,501.396123
-0.1,1,501.396146
-0.1,6,501.396168
-0.1,1,501.396191
-0.1,1,503.980863
-0.1,1,503.98111
-0.1,1,503.98116
-0.1,1,503.981194
-0.1,4,509.622419
-0.1,4,509.62255
-0.1,6,509.622585
-0.1,3,509.622612
-0.1,3,509.622636
-0.1,1,512.427742
-0.1,1,512.427869
-0.1,4,512.427904
-0.1,3,512.427931
-0.1,1,512.427956
-0.1,1,512.427981
-0.1,2,514.969994
0.0,5,514.970304
-0.1,1,514.970352
-0.1,1,514.970376
-0.1,1,517.565377
0.0,5,517.565488
-0.1,3,519.910631
-0.1,1,519.910726
-0.1,1,523.228148
-0.1,7,523.228258
-0.1,3,523.228292
-0.1,13,523.228318
-0.1,1,526.34123
-0.1,8,526.341334
-0.1,5,526.341365
-0.1,5,526.341391
-0.1,6,529.249469
0.0,5,529.249577
0.0,2,529.24961
-0.1,3,529.249635
-0.1,1,529.24966
-0.1,5,529.249684
-0.1,3,532.378255
-0.1,1,532.378369
-0.1,2,532.378404
-0.1,2,532.378432
-0.1,5,532.378457
-0.1,2,534.931379
-0.1,1,534.931492
-0.1,2,534.931527
-0.1,1,534.931554
-0.1,1,534.931581
-0.1,1,534.931607
-0.1,1,537.898497
0.0,4,537.898612
-0.1,3,537.898645
-0.1,5,537.898674
-0.1,1,537.898698
-0.1,1,537.898723
-0.1,1,540.457293
0.0,4,540.457392
-0.1,1,540.457428
-0.1,1,540.457455
-0.1,1,543.311706
-0.1,1,543.311811
-0.1,3,543.311842
-0.1,3,543.311868
-0.1,2,543.311892
-0.1,1,546.394226
0.0,5,546.394349
-0.1,1,546.394384
-0.1,3,546.394411
0.0,3,546.394436
-0.1,2,549.513922
0.0,5,549.514029
-0.1,1,549.514062
-0.1,1,549.51409
-0.1,3,549.514114
-0.1,1,551.823269
-0.1,1,551.823387
0.0,4,554.386412
-0.1,2,554.386511
-0.1,2,557.453135
-0.1,2,557.453261
-0.1,10,557.453297
-0.1,1,560.356369
-0.1,1,560.3565
-0.1,5,560.356547
-0.1,2,560.356584
-0.1,4,560.356618
1.0,3,563.406946
-0.1,1,563.407058
0.0,8,563.407092
-0.1,6,563.407118
-0.1,1,563.407143
-0.1,5,563.407167
0.0,8,565.918123
-0.1,1,565.918237
-0.1,1,565.918368
-0.1,2,568.886863
-0.1,1,568.886978
0.0,2,568.887011
-0.1,3,568.887039
-0.1,8,568.887063
-0.1,4,568.887088
-0.1,1,568.887111
-0.1,1,572.016108
-0.1,4,572.016231
1.0,3,572.016266
-0.1,1,572.016294
-0.1,1,572.01632
-0.1,1,572.016344
-0.1,1,572.016369
-0.1,1,575.070144
-0.1,4,575.07023
-0.1,1,575.070256
-0.1,1,577.515799
-0.1,5,580.918246
-0.1,2,580.918375
-0.1,4,580.918409
-0.1,3,580.918437
-0.1,3,580.91846
-0.1,3,580.918484
-0.1,4,583.769631
-0.1,1,583.769747
-0.1,1,583.769781
0.0,3,583.769807
-0.1,5,583.769833
-0.1,4,583.769856
-0.1,1,583.769879
-0.1,1,583.769903
-0.1,1,586.229646
-0.1,1,586.229764
-0.1,1,586.229799
-0.1,10,589.430884
-0.1,2,589.430978
-0.1,2,589.431013
-0.1,1,589.43104
-0.1,1,592.537174
-0.1,1,592.537285
-0.1,1,592.537318
-0.1,3,592.537344
-0.1,3,592.537366
-0.1,5,592.53739
-0.1,3,592.537414
-0.1,4,592.537437
-0.1,2,595.628428
-0.1,1,595.62854
-0.1,1,595.628574
-0.1,5,595.6286
-0.1,1,595.628625
-0.1,1,595.628648
-0.1,1,595.628671
-0.1,1,598.693647
-0.1,1,598.693766
-0.1,4,598.6938
-0.1,1,598.69383
-0.1,1,601.903001
-0.1,3,601.903091
-0.1,2,601.903116
-0.1,3,604.690824
-0.1,1,604.690936
-0.1,2,604.690971
-0.1,3,604.690998
-0.1,1,604.691022
-0.1,1,604.691047
-0.1,5,607.857535
-0.1,1,607.857645
-0.1,5,607.859153
0.0,4,607.859306
-0.1,1,607.859425
0.0,7,607.859525
-0.1,4,610.815912
-0.1,1,610.816051
-0.1,3,613.817716
-0.1,3,613.817832
-0.1,3,613.817866
0.0,4,616.350031
-0.1,3,616.350134
1.0,3,616.350168
-0.1,1,616.350194
-0.1,1,618.889192
0.0,4,618.889319
-0.1,1,621.646844
0.0,5,621.646959
-0.1,5,621.646993
-0.1,3,624.836942
-0.1,5,624.837077
-0.1,5,624.837165
-0.1,1,624.837211
-0.1,9,624.837248
-0.1,1,624.837281
-0.1,4,627.890949
-0.1,1,627.891068
-0.1,2,627.891099
0.0,4,627.891124
-0.1,2,630.404108
-0.1,1,630.40422
-0.1,1,630.404252
-0.1,2,630.404279
-0.1,5,633.658933
-0.1,7,633.65904
-0.1,1,633.659072
1.0,3,633.659099
-0.1,7,633.659125
-0.1,1,633.659148
-0.1,1,633.659169
-0.1,1,636.164493
-0.1,1,636.164581
-0.1,1,636.164606
-0.1,1,639.32263
-0.1,2,639.322717
-0.1,5,639.322742
-0.1,1,639.322762
-0.1,3,642.497394
-0.1,1,642.497624
-0.1,3,642.497697
-0.1,7,645.477888
-0.1,2,645.477979
-0.1,6,645.478005
1.0,6,645.478023
-0.1,2,647.863593
-0.1,3,647.863714
-0.1,5,647.863847
-0.1,1,647.863883
-0.1,1,650.445828
-0.1,2,650.445945
-0.1,1,650.44598
0.0,3,650.446008
0.0,2,650.446034
-0.1,1,653.46791
