#{"t_start": 1633963716.4191632, "env_id": null}
r,l,t
-0.1,1,392.248708
-0.1,2,392.248735
-0.1,1,392.24876
-0.1,2,395.876611
-0.1,1,395.876731
-0.1,3,395.876766
-0.1,2,395.876794
-0.1,1,395.87682
-0.1,2,395.876845
-0.1,2,395.876869
-0.1,1,395.876893
0.0,4,399.348349
-0.1,2,399.348467
-0.1,1,399.348504
0.0,3,399.348548
-0.1,1,399.348574
-0.1,2,399.348598
-0.1,1,399.348622
-0.1,1,399.348644
-0.1,1,399.348667
-0.1,2,402.837795
-0.1,1,402.837914
-0.1,1,402.837946
-0.1,2,402.837972
-0.1,1,402.837996
-0.1,1,402.838019
-0.1,2,402.838042
-0.1,1,402.838065
-0.1,1,406.312935
-0.1,2,406.313055
-0.1,1,406.313089
-0.1,1,406.313114
-0.1,2,409.882256
-0.1,3,409.882377
-0.1,1,409.882413
-0.1,2,409.882441
-0.1,2,409.882466
0.0,2,409.882491
-0.1,1,409.882517
-0.1,1,409.88254
-0.1,1,412.780285
0.0,3,412.780405
-0.1,2,412.780438
-0.1,1,412.780466
-0.1,1,412.780492
-0.1,1,412.780516
-0.1,1,416.496913
-0.1,5,416.497034
-0.1,1,416.497069
-0.1,1,416.497097
-0.1,2,416.497122
-0.1,1,416.497146
-0.1,1,416.497171
-0.1,2,416.497194
-0.1,6,420.080316
-0.1,1,420.080442
-0.1,3,420.080715
-0.1,1,420.080877
-0.1,2,420.080949
-0.1,1,420.081099
-0.1,1,420.081158
-0.1,1,420.081214
-0.1,3,420.081268
-0.1,1,423.491599
-0.1,2,423.491717
-0.1,2,423.491756
-0.1,1,423.491785
-0.1,1,423.491809
-0.1,1,423.491832
-0.1,2,427.043411
-0.1,1,427.043532
-0.1,1,427.043567
-0.1,2,427.043595
-0.1,2,427.04362
-0.1,1,427.043645
-0.1,1,427.043669
-0.1,1,427.043694
-0.1,1,430.189032
-0.1,1,430.18915
-0.1,1,430.189185
-0.1,1,430.189213
-0.1,1,430.189238
-0.1,1,430.189262
-0.1,4,430.189287
-0.1,2,430.189312
-0.1,1,433.782969
-0.1,1,433.783093
1.0,2,433.783129
-0.1,4,433.783157
-0.1,2,433.783184
-0.1,1,433.783209
-0.1,4,433.783243
-0.1,1,433.783269
-0.1,1,433.783292
-0.1,1,433.783316
-0.1,1,437.607061
-0.1,1,437.607183
-0.1,1,437.607218
-0.1,1,437.607255
-0.1,1,437.607281
-0.1,1,437.607305
-0.1,1,437.607328
-0.1,1,437.607353
-0.1,1,437.607376
-0.1,1,437.607399
-0.1,1,441.207077
-0.1,1,441.207203
-0.1,1,441.207247
-0.1,3,441.207276
-0.1,1,441.207301
-0.1,1,441.207326
-0.1,1,444.216923
-0.1,4,444.217042
-0.1,2,444.217077
-0.1,1,444.217104
-0.1,2,444.217129
0.0,3,447.704058
-0.1,2,447.704195
-0.1,3,447.704234
-0.1,1,447.704263
-0.1,1,447.704289
-0.1,2,447.704314
-0.1,2,447.704338
-0.1,1,450.651918
-0.1,2,450.652049
-0.1,1,450.652102
0.0,4,450.652129
-0.1,3,450.652155
-0.1,2,454.16524
-0.1,1,454.16536
-0.1,1,454.165396
-0.1,3,454.165424
-0.1,1,454.165449
-0.1,1,454.165473
-0.1,2,454.165497
-0.1,1,457.773903
-0.1,1,457.774023
-0.1,3,457.774058
-0.1,1,457.774085
-0.1,4,457.774107
-0.1,1,457.774128
-0.1,1,457.774154
-0.1,2,457.774178
-0.1,1,457.774201
-0.1,4,461.266698
-0.1,2,461.26682
-0.1,1,461.266856
-0.1,4,461.266882
-0.1,1,461.266908
-0.1,1,461.266933
-0.1,1,461.266958
-0.1,1,461.266981
-0.1,1,464.912049
-0.1,2,464.912175
-0.1,1,464.912211
-0.1,1,464.912239
